337763062	-844082163	272.69	3	131	-0.20	-0.36	-0.06	235.39	260	4749	271.55	0.10	0.04	-0.00	0.97	-0.98	4.09	346.82	24430
337763062	-844082165	272.68	3	131	-0.37	-0.37	-0.03	228.82	261	4690	271.56	0.12	0.03	-0.02	0.99	-1.04	4.07	347.52	24530
337763062	-844082165	272.68	3	131	-0.37	-0.37	-0.03	228.82	261	4690	271.56	0.13	0.05	-0.01	0.98	-1.08	4.07	348.23	24630
337763066	-844082165	272.70	3	131	-0.29	-0.32	-0.04	228.69	246	4632	271.58	0.13	0.04	-0.00	0.98	-1.13	4.07	348.93	24730
337763065	-844082171	272.73	3	131	-0.23	-0.41	-0.05	234.20	248	4576	271.58	0.14	0.03	-0.01	1.00	-1.19	4.02	349.63	24830
337763060	-844082177	272.76	3	131	-0.25	-0.37	-0.04	235.13	205	4525	271.57	0.14	0.05	-0.01	0.98	-1.24	4.00	350.33	24930
337763054	-844082187	272.82	3	131	-0.25	-0.43	-0.06	237.38	236	4477	271.58	0.15	0.07	0.07	0.96	-1.25	4.00	351.03	25030
337763054	-844082187	272.82	3	131	-0.25	-0.43	-0.06	237.38	236	4477	271.57	0.13	0.05	0.04	0.97	-1.35	3.67	350.63	25130
337763042	-844082198	272.85	3	131	-0.26	-0.37	-0.05	235.89	243	4433	271.57	0.10	-0.01	-0.05	0.99	-1.06	3.30	348.29	25230
337763027	-844082211	272.88	3	131	-0.29	-0.43	-0.04	235.95	221	4389	271.54	0.05	0.02	0.04	0.99	-1.22	3.21	348.96	25330
337763014	-844082223	272.91	3	131	-0.37	-0.46	-0.03	233.51	236	4346	271.55	0.03	0.03	0.01	1.00	-1.28	3.20	349.73	25430
337763009	-844082232	272.97	3	131	-0.32	-0.41	-0.04	232.92	239	4305	271.54	0.00	0.03	-0.02	1.00	-1.36	3.20	350.42	25530
337763009	-844082232	272.97	3	131	-0.32	-0.41	-0.04	232.92	239	4305	271.56	-0.00	0.03	-0.01	0.97	-1.47	3.17	351.11	25630
337762999	-844082241	272.98	3	131	-0.34	-0.39	-0.03	230.89	248	4269	271.59	-0.00	0.04	-0.02	1.01	-1.57	3.15	351.82	25730
337762991	-844082251	273.02	3	131	-0.32	-0.36	-0.04	229.71	244	4234	271.57	-0.00	0.10	0.03	1.00	-1.55	3.22	352.59	25830
337762986	-844082260	273.08	3	131	-0.21	-0.37	-0.04	234.54	222	4196	271.64	0.01	-0.08	-0.27	0.88	-0.10	3.36	352.12	25930
337762981	-844082270	273.13	3	131	-0.24	-0.38	-0.05	236.87	201	4160	271.65	0.03	0.03	0.02	1.00	-0.12	3.26	352.63	26030
337762981	-844082270	273.13	3	131	-0.24	-0.38	-0.05	236.87	201	4160	271.68	0.07	0.03	0.00	0.98	-0.18	3.23	353.35	26130
337762979	-844082275	273.16	3	131	-0.18	-0.29	-0.06	237.38	198	4127	271.66	0.09	0.04	0.04	0.97	-0.23	3.19	354.05	26230
